step1
1226,1304,939,1597,1702,1336,1164,970,1492,1485,1105,1070,1399,1184,1105,1258,1200,1200
1225,1305,940,1599,1704,1337,1164,969,1491,1486,1106,1069,1398,1184,1106,1258,1200,1200
1227,1306,940,1598,1704,1335,1164,971,1492,1486,1104,1069,1397,1185,1104,1257,1199,1199
1226,1305,940,1598,1704,1337,1165,970,1491,1487,1106,1070,1399,1184,1106,1259,1200,1200
1227,1305,940,1598,1705,1336,1163,970,1491,1486,1106,1070,1398,1186,1106,1259,1200,1200
1226,1307,940,1597,1704,1336,1165,972,1491,1486,1106,1070,1398,1185,1106,1258,1199,1199
1226,1305,940,1598,1706,1335,1165,971,1492,1487,1105,1071,1398,1186,1105,1259,1200,1200
1227,1306,939,1598,1705,1336,1165,971,1492,1486,1105,1070,1400,1185,1105,1259,1200,1200
1226,1304,939,1597,1704,1336,1165,971,1492,1487,1105,1069,1398,1185,1105,1259,1199,1199
1225,1305,940,1599,1705,1335,1164,970,1491,1488,1105,1069,1398,1185,1105,1258,1200,1200
1225,1305,938,1598,1705,1336,1165,970,1492,1486,1105,1069,1397,1184,1105,1258,1199,1199
1226,1305,940,1597,1703,1336,1165,970,1492,1486,1106,1069,1398,1185,1106,1259,1200,1200
1226,1306,939,1597,1705,1336,1164,971,1491,1486,1105,1069,1399,1186,1105,1258,1200,1200

step3
1226,1305,940,1597,1706,1337,1164,971,1491,1486,1105,1070,1398,1185,1105,1259,1199,1199
1227,1305,940,1598,1705,1336,1164,971,1492,1488,1106,1069,1398,1185,1106,1258,1200,1200
1227,1306,940,1598,1707,1336,1166,971,1491,1486,1106,1069,1398,1185,1106,1258,1200,1200
1225,1306,941,1598,1704,1335,1165,971,1492,1487,1106,1069,1399,1185,1106,1258,1199,1199
1227,1304,939,1598,1706,1335,1166,970,1492,1488,1107,1070,1397,1185,1107,1258,1199,1199
1226,1306,940,1596,1703,1335,1165,971,1492,1486,1106,1070,1398,1185,1106,1258,1200,1200
1225,1305,939,1598,1703,1336,1165,971,1492,1486,1106,1070,1398,1185,1106,1259,1199,1199
1225,1304,939,1598,1704,1338,1165,970,1492,1486,1106,1070,1398,1184,1106,1258,1199,1199
1226,1306,939,1597,1704,1335,1165,971,1492,1487,1105,1070,1398,1185,1105,1258,1200,1200
1225,1303,939,1597,1704,1335,1165,969,1492,1487,1106,1069,1399,1185,1106,1258,1199,1199
1226,1306,939,1597,1704,1336,1165,971,1493,1486,1105,1069,1399,1186,1105,1259,1200,1200
1226,1305,940,1597,1707,1336,1164,970,1491,1487,1106,1070,1398,1185,1106,1259,1199,1199
1226,1305,939,1597,1707,1337,1165,971,1492,1487,1106,1070,1399,1186,1106,1258,1199,1199
1226,1306,941,1598,1706,1339,1165,971,1492,1487,1107,1070,1399,1186,1107,1258,1199,1199
1227,1307,941,1598,1705,1336,1165,972,1492,1486,1107,1069,1399,1185,1107,1258,1200,1200
1226,1305,940,1598,1705,1337,1166,971,1493,1488,1107,1071,1398,1186,1107,1258,1199,1199
1225,1306,940,1598,1705,1336,1166,971,1492,1487,1107,1070,1398,1185,1107,1258,1199,1199
1226,1306,940,1598,1706,1337,1166,971,1493,1487,1108,1070,1399,1186,1108,1258,1200,1200
1225,1306,940,1597,1706,1335,1165,972,1492,1487,1106,1070,1399,1185,1106,1258,1200,1200
1227,1306,939,1598,1705,1337,1164,970,1492,1487,1106,1070,1399,1185,1106,1259,1199,1199
1224,1306,939,1596,1704,1335,1165,971,1492,1486,1105,1070,1398,1186,1105,1258,1200,1200
1226,1304,939,1598,1705,1337,1164,969,1491,1487,1105,1070,1399,1186,1105,1259,1199,1199
1227,1306,940,1598,1704,1336,1164,971,1492,1486,1106,1069,1400,1186,1106,1258,1200,1200
1227,1305,939,1597,1703,1336,1164,969,1492,1486,1106,1069,1399,1186,1106,1258,1200,1200
1226,1305,940,1598,1706,1336,1164,971,1492,1487,1107,1070,1399,1185,1107,1259,1199,1199
1225,1306,941,1598,1706,1336,1165,972,1493,1488,1106,1070,1399,1185,1106,1258,1199,1199
1226,1305,939,1599,1705,1336,1166,971,1492,1488,1107,1070,1399,1184,1107,1257,1199,1199
1225,1305,940,1598,1703,1335,1165,972,1493,1487,1107,1069,1399,1185,1107,1258,1199,1199
1226,1306,939,1595,1703,1335,1167,971,1494,1487,1107,1070,1399,1185,1107,1257,1199,1199
1225,1305,939,1597,1701,1334,1164,971,1492,1486,1106,1070,1399,1185,1106,1258,1199,1199
1226,1305,940,1595,1702,1335,1165,970,1492,1487,1105,1069,1398,1186,1105,1258,1200,1200
1226,1305,938,1597,1705,1336,1164,970,1492,1487,1106,1069,1399,1186,1106,1258,1199,1199
1226,1305,939,1597,1705,1337,1164,970,1493,1486,1105,1070,1400,1185,1105,1258,1199,1199
1227,1306,940,1599,1708,1337,1166,970,1492,1487,1105,1070,1399,1185,1105,1258,1199,1199
1226,1306,939,1599,1706,1338,1164,970,1493,1486,1105,1069,1398,1185,1105,1257,1199,1199
1226,1305,940,1598,1707,1336,1167,972,1492,1487,1107,1070,1399,1184,1107,1257,1199,1199
1226,1306,940,1598,1705,1337,1165,971,1493,1487,1107,1070,1399,1184,1107,1257,1198,1198
1226,1305,940,1597,1704,1336,1165,972,1494,1486,1106,1071,1399,1184,1106,1257,1198,1198
1226,1305,939,1597,1704,1337,1165,970,1493,1487,1108,1069,1399,1186,1108,1257,1198,1198
1226,1304,940,1597,1702,1336,1165,972,1495,1487,1106,1070,1399,1185,1106,1258,1198,1198
1225,1305,939,1596,1704,1335,1166,970,1492,1487,1107,1070,1400,1185,1107,1258,1199,1199
1225,1305,939,1597,1704,1335,1165,968,1493,1485,1105,1068,1399,1185,1105,1257,1198,1198
1225,1305,940,1598,1707,1336,1163,970,1493,1485,1105,1069,1399,1185,1105,1257,1198,1198
1226,1305,939,1597,1701,1336,1165,968,1491,1486,1105,1070,1399,1185,1105,1257,1198,1198
1226,1305,939,1598,1705,1337,1165,971,1493,1486,1105,1070,1398,1185,1105,1256,1198,1198
1226,1306,940,1598,1704,1336,1164,970,1493,1486,1106,1069,1399,1185,1106,1257,1198,1198
1227,1306,939,1596,1703,1336,1165,971,1493,1487,1106,1070,1399,1185,1106,1256,1198,1198
